Amazon
Flipkart
Myntra
Meesho
Nykaa
JioMart
Ajio
Tata CLiQ
Snapdeal
IndiaMART
Paytm Mall
Lenskart
Shopsy
FirstCry
Voonik
Bajaao
BigBasket
Blinkit
Zomato Market
Swiggy Instamart
Udaan
MakeMyTrip
Craftsvilla
ShopClues
1mg
PharmEasy
CureFit
Dunzo
Zepto
CaratLane
Pepperfry
Urban Ladder
Limeroad
Koovs
Bewakoof
Zivame
Nykaa Fashion
FabIndia
Ustraa
Mamaearth
Blue Tokai
Chumbak
Hopscotch
Hometown
Urban Company
Reliance Digital
Apple India
Samsung India
Sony India
IKEA India
Nike India
Adidas India
Puma India
Forever 21 India
H&M India
Zara India
Shein
Wish
eBay India
Alibaba
Croma
Flipkart Wholesale
Amazon Pantry
Amazon Fashion
Flipkart Supermart
BB Now
Nature's Basket
Spencer’s Online
Reliance Fresh Online
Tata CLiQ Luxury
Tata Digital Retail
Lifestyle
Westside
AJIO Luxe
99acres
Olx India
Quikr
Cashify
CarTrade
BikeDekho
MagicBricks
Zomato
Swiggy Stores
Purplle
MyGlamm
Spinny
Licious
FreshToHome
Reliance Trends Online
Ajio Metro
Tata NeuStore
CRED Store
Flipkart Health+
